Geneid	SRR1039508	SRR1039509	SRR1039512	SRR1039513
ENSG00000223972	1	0	3	1
ENSG00000227232	23	21	28	15
ENSG00000278267	0	0	0	1
ENSG00000243485	1	1	2	3
ENSG00000284332	0	0	0	0
ENSG00000237613	0	1	3	0
ENSG00000268020	0	0	0	0
ENSG00000240361	0	0	0	0
ENSG00000186092	0	0	0	0
ENSG00000238009	0	0	3	1
ENSG00000239945	0	0	0	0
ENSG00000233750	0	0	0	0
ENSG00000268903	0	0	2	0
ENSG00000269981	0	0	0	0
ENSG00000239906	0	0	1	0
ENSG00000241860	1	1	2	0
ENSG00000222623	0	0	0	0
ENSG00000241599	0	0	0	0
ENSG00000279928	0	0	0	1
ENSG00000279457	39	31	36	13
ENSG00000273874	0	0	0	0
ENSG00000228463	66	32	58	20
ENSG00000236679	2	5	2	2
ENSG00000236601	0	0	0	0
ENSG00000237094	1	3	3	1
ENSG00000269732	0	0	0	0
ENSG00000284733	0	0	0	0
ENSG00000233653	0	0	0	0
ENSG00000250575	0	0	1	0
ENSG00000278757	0	0	0	0
ENSG00000230021	0	0	0	0
ENSG00000235146	0	0	0	0
ENSG00000225972	556	695	800	652
ENSG00000225630	2412	2394	3254	2503
ENSG00000237973	17587	17672	21629	13710
ENSG00000278791	0	0	0	0
ENSG00000229344	2204	2878	4809	2995
ENSG00000240409	423	428	653	458
ENSG00000248527	4309	4513	5918	4261
ENSG00000198744	3582	3911	3131	3021
ENSG00000268663	0	0	0	0
ENSG00000284662	0	0	0	0
ENSG00000229376	0	0	0	0
ENSG00000228327	12	7	5	4
ENSG00000223181	0	0	0	0
ENSG00000229905	0	0	0	0
ENSG00000237491	13	16	0	7
ENSG00000285268	0	0	0	0
ENSG00000230092	7	1	0	1
ENSG00000177757	0	0	0	0
ENSG00000228794	21	26	0	21
ENSG00000225880	6	0	0	6
ENSG00000230368	1	0	0	0
ENSG00000234711	8	3	0	3
ENSG00000283040	0	0	0	0
ENSG00000272438	0	0	0	0
ENSG00000230699	1	0	0	0
ENSG00000241180	0	0	0	0
ENSG00000223764	3	0	0	0
ENSG00000187634	17	5	0	0
ENSG00000188976	99	102	1	54
ENSG00000187961	37	22	0	7
ENSG00000187583	3	1	0	0
ENSG00000187642	0	0	0	0
ENSG00000272512	0	0	0	0
ENSG00000188290	5	6	0	0
ENSG00000187608	29	27	0	5
ENSG00000231702	57	46	0	35
ENSG00000224969	1	0	0	0
ENSG00000188157	208	141	0	86
ENSG00000242590	0	0	0	0
ENSG00000217801	0	1	0	0
ENSG00000273443	0	0	0	0
ENSG00000237330	0	0	0	0
ENSG00000131591	15	5	0	7
ENSG00000223823	0	0	0	0
ENSG00000207730	0	0	0	0
ENSG00000207607	0	0	0	0
ENSG00000198976	0	0	0	0
ENSG00000272141	0	0	0	0
ENSG00000205231	0	0	0	0
ENSG00000162571	0	0	0	0
ENSG00000186891	0	0	0	0
ENSG00000186827	0	0	0	0
ENSG00000078808	391	409	0	248
ENSG00000176022	43	38	0	14
ENSG00000184163	2	0	0	0
ENSG00000260179	0	0	0	2
ENSG00000160087	52	46	0	38
ENSG00000230415	1	1	0	0
ENSG00000162572	14	7	0	3
ENSG00000131584	163	110	0	35
ENSG00000278073	0	0	0	0
ENSG00000169972	19	14	0	9
ENSG00000127054	127	92	0	53
ENSG00000283712	0	0	0	0
ENSG00000240731	1	3	0	2
ENSG00000224051	33	21	0	21
ENSG00000169962	3	0	0	0
ENSG00000107404	98	93	0	53
ENSG00000284372	0	0	0	0
ENSG00000162576	995	927	1	582
ENSG00000175756	67	60	0	33
ENSG00000223663	0	0	0	0
ENSG00000221978	383	396	0	263
ENSG00000224870	20	26	0	12
ENSG00000242485	44	58	0	33
ENSG00000264293	0	0	0	0
ENSG00000272455	19	10	0	20
ENSG00000235098	4	7	0	1
ENSG00000225905	0	0	0	0
ENSG00000205116	0	0	0	0
ENSG00000225285	0	0	0	0
ENSG00000179403	15	10	0	4
ENSG00000215915	0	1	0	0
ENSG00000160072	20	17	0	13
ENSG00000284740	0	2	0	0
ENSG00000197785	13	21	0	11
ENSG00000205090	7	6	0	3
ENSG00000160075	165	177	0	125
ENSG00000215014	0	0	0	1
ENSG00000274481	0	0	0	0
ENSG00000228594	17	10	0	1
ENSG00000272106	7	0	0	6
ENSG00000197530	99	70	0	23
ENSG00000189409	0	1	0	0
ENSG00000248333	68	57	0	39
ENSG00000272004	0	0	0	0
ENSG00000189339	140	77	0	69
ENSG00000269737	4	4	0	0
ENSG00000215914	0	0	0	0
ENSG00000008128	2	7	0	1
ENSG00000268575	4	4	0	4
ENSG00000227775	0	0	0	0
ENSG00000215790	56	29	1	13
ENSG00000008130	90	136	0	91
ENSG00000078369	670	582	0	463
ENSG00000231050	0	0	0	1
ENSG00000169885	1	2	0	3
ENSG00000178821	0	0	0	0
ENSG00000142609	0	1	0	1
ENSG00000233542	0	0	0	0
ENSG00000187730	2	1	0	1
ENSG00000226969	0	0	0	0
ENSG00000067606	0	2	0	2
ENSG00000271806	0	0	0	0
ENSG00000182873	0	1	0	1
ENSG00000162585	59	62	1	36
ENSG00000234396	0	0	0	0
ENSG00000157933	177	161	0	104
ENSG00000116151	4	5	0	4
ENSG00000272161	0	0	0	0
ENSG00000269896	5	3	0	6
ENSG00000272420	0	0	0	0
ENSG00000157916	149	207	0	110
ENSG00000157911	19	12	0	7
ENSG00000149527	0	0	0	0
ENSG00000224387	0	0	0	0
ENSG00000229393	0	0	0	1
ENSG00000157881	24	41	0	9
ENSG00000197921	0	0	0	0
ENSG00000272449	0	0	0	0
ENSG00000238164	0	1	0	0
ENSG00000157873	58	46	0	12
ENSG00000225931	0	0	0	0
ENSG00000228037	1	0	0	0
ENSG00000157870	30	41	0	20
ENSG00000142606	0	0	0	0
ENSG00000237058	0	0	0	0
ENSG00000215912	3	0	0	0
ENSG00000283259	0	0	0	0
ENSG00000233234	0	0	0	0
ENSG00000231630	0	0	0	0
ENSG00000284745	0	0	0	0
ENSG00000169717	0	0	0	0
ENSG00000177133	1	1	0	0
ENSG00000142611	6	4	0	2
ENSG00000283572	0	0	0	0
ENSG00000226286	0	0	0	0
ENSG00000279839	0	0	0	0
ENSG00000272235	1	0	0	0
ENSG00000130762	0	0	0	0
ENSG00000272088	0	0	0	0
ENSG00000162591	33	21	0	37
ENSG00000207776	0	0	0	0
ENSG00000238260	0	1	0	0
ENSG00000158109	165	109	0	121
ENSG00000116213	27	32	0	17
ENSG00000078900	0	0	0	0
ENSG00000227589	0	0	0	0
ENSG00000235131	0	0	0	0
ENSG00000227372	93	50	0	44
ENSG00000276189	0	0	0	0
ENSG00000162592	1	0	0	0
ENSG00000235169	4	1	0	0
ENSG00000130764	61	66	0	44
ENSG00000266075	1	0	0	0
ENSG00000272153	1	0	0	0
ENSG00000116198	54	53	0	40
ENSG00000169598	8	12	0	5
ENSG00000198912	33	27	0	20
ENSG00000236423	2	0	0	0
ENSG00000233304	0	0	0	0
ENSG00000226374	0	0	0	0
ENSG00000284668	0	0	0	0
ENSG00000284703	1	0	0	1
ENSG00000229280	0	0	0	0
ENSG00000235054	0	0	0	0
ENSG00000284694	0	0	0	0
ENSG00000227169	0	0	0	0
ENSG00000232596	0	0	0	0
ENSG00000196581	0	0	0	0
ENSG00000284739	0	0	0	0
ENSG00000284674	0	0	0	0
ENSG00000231510	0	0	0	0
ENSG00000284616	0	0	0	0
ENSG00000284692	0	0	0	0
ENSG00000284666	0	0	0	0
ENSG00000260972	0	0	0	0
ENSG00000283356	0	0	0	0
ENSG00000236948	0	0	0	0
ENSG00000264341	0	0	0	0
ENSG00000264101	0	0	0	0
ENSG00000131697	32	29	0	6
ENSG00000069424	17	20	0	13
ENSG00000116254	3	0	0	0
ENSG00000116251	946	825	0	558
ENSG00000226944	1	0	0	0
ENSG00000158286	6	3	0	7
ENSG00000116237	244	0	0	171
ENSG00000225077	0	0	0	0
ENSG00000173673	0	0	0	0
ENSG00000158292	84	0	0	17
