"record_id" "month" "day" "year" "plot_id" "species_id" "sex" "hindfoot_length" "weight" "genus" "species" "taxa" "plot_type" "date"
"1" 1 7 16 1977 2 "NL" "M" 32 NA "Neotoma" "albigula" "Rodent" "Control" 1977-07-16
"2" 72 8 19 1977 2 "NL" "M" 31 NA "Neotoma" "albigula" "Rodent" "Control" 1977-08-19
"3" 224 9 13 1977 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1977-09-13
"4" 266 10 16 1977 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1977-10-16
"5" 349 11 12 1977 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1977-11-12
"6" 363 11 12 1977 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1977-11-12
"7" 435 12 10 1977 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1977-12-10
"8" 506 1 8 1978 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1978-01-08
"9" 588 2 18 1978 2 "NL" "M" NA 218 "Neotoma" "albigula" "Rodent" "Control" 1978-02-18
"10" 661 3 11 1978 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1978-03-11
"11" 748 4 8 1978 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1978-04-08
"12" 845 5 6 1978 2 "NL" "M" 32 204 "Neotoma" "albigula" "Rodent" "Control" 1978-05-06
"13" 990 6 9 1978 2 "NL" "M" NA 200 "Neotoma" "albigula" "Rodent" "Control" 1978-06-09
"14" 1164 8 5 1978 2 "NL" "M" 34 199 "Neotoma" "albigula" "Rodent" "Control" 1978-08-05
"15" 1261 9 4 1978 2 "NL" "M" 32 197 "Neotoma" "albigula" "Rodent" "Control" 1978-09-04
"16" 1374 10 8 1978 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 1978-10-08
"17" 1453 11 5 1978 2 "NL" "M" NA 218 "Neotoma" "albigula" "Rodent" "Control" 1978-11-05
"18" 1756 4 29 1979 2 "NL" "M" 33 166 "Neotoma" "albigula" "Rodent" "Control" 1979-04-29
"19" 1818 5 30 1979 2 "NL" "M" 32 184 "Neotoma" "albigula" "Rodent" "Control" 1979-05-30
"20" 1882 7 4 1979 2 "NL" "M" 32 206 "Neotoma" "albigula" "Rodent" "Control" 1979-07-04
"21" 2133 10 25 1979 2 "NL" "F" 33 274 "Neotoma" "albigula" "Rodent" "Control" 1979-10-25
"22" 2184 11 17 1979 2 "NL" "F" 30 186 "Neotoma" "albigula" "Rodent" "Control" 1979-11-17
"23" 2406 1 16 1980 2 "NL" "F" 33 184 "Neotoma" "albigula" "Rodent" "Control" 1980-01-16
"24" 2728 3 9 1980 2 "NL" "F" NA NA "Neotoma" "albigula" "Rodent" "Control" 1980-03-09
"25" 3000 5 18 1980 2 "NL" "F" 31 87 "Neotoma" "albigula" "Rodent" "Control" 1980-05-18
"26" 3002 5 18 1980 2 "NL" "F" 33 174 "Neotoma" "albigula" "Rodent" "Control" 1980-05-18
"27" 4667 7 8 1981 2 "NL" "F" 30 130 "Neotoma" "albigula" "Rodent" "Control" 1981-07-08
"28" 4859 10 1 1981 2 "NL" "M" 34 208 "Neotoma" "albigula" "Rodent" "Control" 1981-10-01
"29" 5048 11 23 1981 2 "NL" "M" 34 192 "Neotoma" "albigula" "Rodent" "Control" 1981-11-23
"30" 5180 1 1 1982 2 "NL" "M" NA 206 "Neotoma" "albigula" "Rodent" "Control" 1982-01-01
"31" 5299 1 25 1982 2 "NL" "F" 32 165 "Neotoma" "albigula" "Rodent" "Control" 1982-01-25
"32" 5485 2 24 1982 2 "NL" "M" 34 202 "Neotoma" "albigula" "Rodent" "Control" 1982-02-24
"33" 5558 3 29 1982 2 "NL" "M" 33 211 "Neotoma" "albigula" "Rodent" "Control" 1982-03-29
"34" 5583 3 29 1982 2 "NL" "M" 31 120 "Neotoma" "albigula" "Rodent" "Control" 1982-03-29
"35" 5966 5 22 1982 2 "NL" "F" 32 40 "Neotoma" "albigula" "Rodent" "Control" 1982-05-22
"36" 6020 6 28 1982 2 "NL" "M" 33 222 "Neotoma" "albigula" "Rodent" "Control" 1982-06-28
"37" 6023 6 28 1982 2 "NL" "F" 30 100 "Neotoma" "albigula" "Rodent" "Control" 1982-06-28
"38" 6036 6 28 1982 2 "NL" "F" 33 120 "Neotoma" "albigula" "Rodent" "Control" 1982-06-28
"39" 6167 7 25 1982 2 "NL" "M" NA 219 "Neotoma" "albigula" "Rodent" "Control" 1982-07-25
"40" 6479 8 16 1982 2 "NL" "F" 31 112 "Neotoma" "albigula" "Rodent" "Control" 1982-08-16
"41" 6500 8 16 1982 2 "NL" "F" 33 152 "Neotoma" "albigula" "Rodent" "Control" 1982-08-16
"42" 8022 6 18 1983 2 "NL" "F" 30 126 "Neotoma" "albigula" "Rodent" "Control" 1983-06-18
"43" 8263 8 16 1983 2 "NL" "F" 32 147 "Neotoma" "albigula" "Rodent" "Control" 1983-08-16
"44" 8387 9 11 1983 2 "NL" "F" 32 138 "Neotoma" "albigula" "Rodent" "Control" 1983-09-11
"45" 8394 9 11 1983 2 "NL" "F" 32 161 "Neotoma" "albigula" "Rodent" "Control" 1983-09-11
"46" 8407 9 11 1983 2 "NL" "M" 33 148 "Neotoma" "albigula" "Rodent" "Control" 1983-09-11
"47" 8514 10 16 1983 2 "NL" "F" 32 151 "Neotoma" "albigula" "Rodent" "Control" 1983-10-16
"48" 8543 10 16 1983 2 "NL" "F" 31 175 "Neotoma" "albigula" "Rodent" "Control" 1983-10-16
"49" 8657 11 13 1983 2 "NL" "F" 32 158 "Neotoma" "albigula" "Rodent" "Control" 1983-11-13
"50" 8675 11 13 1983 2 "NL" "F" 32 164 "Neotoma" "albigula" "Rodent" "Control" 1983-11-13
"51" 8755 12 9 1983 2 "NL" "F" 32 150 "Neotoma" "albigula" "Rodent" "Control" 1983-12-09
"52" 9048 4 10 1984 2 "NL" "F" 32 157 "Neotoma" "albigula" "Rodent" "Control" 1984-04-10
"53" 9132 5 13 1984 2 "NL" "M" 32 125 "Neotoma" "albigula" "Rodent" "Control" 1984-05-13
"54" 9270 5 28 1984 2 "NL" "M" 33 125 "Neotoma" "albigula" "Rodent" "Control" 1984-05-28
"55" 9349 7 4 1984 2 "NL" "M" 35 130 "Neotoma" "albigula" "Rodent" "Control" 1984-07-04
"56" 9512 8 26 1984 2 "NL" "F" 31 151 "Neotoma" "albigula" "Rodent" "Control" 1984-08-26
"57" 9605 9 30 1984 2 "NL" "F" 32 173 "Neotoma" "albigula" "Rodent" "Control" 1984-09-30
"58" 9703 10 21 1984 2 "NL" "M" 30 126 "Neotoma" "albigula" "Rodent" "Control" 1984-10-21
"59" 10606 7 24 1985 2 "NL" "F" 30 91 "Neotoma" "albigula" "Rodent" "Control" 1985-07-24
"60" 10617 7 24 1985 2 "NL" "M" 32 186 "Neotoma" "albigula" "Rodent" "Control" 1985-07-24
"61" 10627 7 24 1985 2 "NL" "F" 32 174 "Neotoma" "albigula" "Rodent" "Control" 1985-07-24
"62" 10720 8 20 1985 2 "NL" "F" 31 106 "Neotoma" "albigula" "Rodent" "Control" 1985-08-20
"63" 10923 10 13 1985 2 "NL" "F" 31 136 "Neotoma" "albigula" "Rodent" "Control" 1985-10-13
"64" 10949 10 13 1985 2 "NL" "F" 33 148 "Neotoma" "albigula" "Rodent" "Control" 1985-10-13
"65" 11215 12 8 1985 2 "NL" "F" 32 160 "Neotoma" "albigula" "Rodent" "Control" 1985-12-08
"66" 11329 3 9 1986 2 "NL" "M" 34 240 "Neotoma" "albigula" "Rodent" "Control" 1986-03-09
"67" 11496 5 11 1986 2 "NL" "F" 31 163 "Neotoma" "albigula" "Rodent" "Control" 1986-05-11
"68" 11498 5 11 1986 2 "NL" "F" 31 82 "Neotoma" "albigula" "Rodent" "Control" 1986-05-11
"69" 11611 6 5 1986 2 "NL" "F" 32 110 "Neotoma" "albigula" "Rodent" "Control" 1986-06-05
